time_bin,manual_count,system_count,signed_error,absolute_error,error_type,accuracy_pct
0.000-10.000s,10,10,0,0,exact,100.0
10.000-20.000s,10,9,-1,1,undercount,90.0
20.000-30.000s,11,12,1,1,overcount,90.9091
30.000-40.000s,8,7,-1,1,undercount,87.5
40.000-50.000s,13,13,0,0,exact,100.0
50.000-60.000s,10,10,0,0,exact,100.0
60.000-70.000s,8,8,0,0,exact,100.0
70.000-80.000s,14,14,0,0,exact,100.0
80.000-90.000s,13,13,0,0,exact,100.0
90.000-100.000s,14,13,-1,1,undercount,92.8571
100.000-110.000s,13,13,0,0,exact,100.0
110.000-120.000s,8,11,3,3,overcount,62.5
120.000-130.000s,13,13,0,0,exact,100.0
130.000-140.000s,15,17,2,2,overcount,86.6667
140.000-150.000s,12,13,1,1,overcount,91.6667
150.000-160.000s,12,12,0,0,exact,100.0
160.000-170.000s,9,7,-2,2,undercount,77.7778
170.000-179.067s,6,6,0,0,exact,100.0
